level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
1918	3536595	10880950	#1f00ff	1.0	Instance 0x600000000000008d Size=456B	5044					52494
1917	3539059	10880780	#1f00ff	1.0	Instance 0x600000000000008e Size=648B	5051					52496
1916	3541629	10865910	#1f00ff	1.0	Instance 0x600000000000008f Size=480B	5058					52497
1915	3544293	10878834	#1f00ff	1.0	Instance 0x6000000000000090 Size=640B	5065					52499
1914	3547241	10881475	#1f00ff	1.0	Instance 0x6000000000000091 Size=552B	5072					52501
1913	3549984	10877647	#1f00ff	1.0	Instance 0x6000000000000092 Size=688B	5079					52502
1912	3552445	10877416	#1f00ff	1.0	Instance 0x6000000000000093 Size=520B	5086					16624
1911	3554774	10879108	#1f00ff	1.0	Instance 0x6000000000000094 Size=784B	5093					52504
1910	3557157	10879420	#1f00ff	1.0	Instance 0x6000000000000095 Size=664B	5100					52506
1909	3559526	10878568	#1f00ff	1.0	Instance 0x6000000000000096 Size=768B	5107					52508
1908	3562146	10879737	#1f00ff	1.0	Instance 0x6000000000000097 Size=560B	5114					16626
1907	3564813	10878760	#1f00ff	1.0	Instance 0x6000000000000098 Size=888B	5121					52509
1906	3567523	10880972	#1f00ff	1.0	Instance 0x6000000000000099 Size=712B	5128					52510
1905	3570038	10878413	#1f00ff	1.0	Instance 0x600000000000009a Size=688B	5135					16628
1904	3572519	10880828	#1f00ff	1.0	Instance 0x600000000000009b Size=576B	5142					52512
1903	3575106	10881208	#1f00ff	1.0	Instance 0x600000000000009c Size=504B	5149					52514
1902	3577438	10877744	#1f00ff	1.0	Instance 0x600000000000009d Size=664B	5156					52515
1901	3579834	10879586	#1f00ff	1.0	Instance 0x600000000000009e Size=712B	5163					52517
1900	3582308	10877624	#1f00ff	1.0	Instance 0x600000000000009f Size=520B	5170					52518
1899	3584900	10880407	#1f00ff	1.0	Instance 0x60000000000000a0 Size=472B	5177					52519
1898	3587704	10865980	#1f00ff	1.0	Instance 0x60000000000000a1 Size=552B	5184					52520
1897	3590282	10877388	#1f00ff	1.0	Instance 0x60000000000000a2 Size=576B	5191					52521
1896	3592603	10878543	#1f00ff	1.0	Instance 0x60000000000000a3 Size=536B	5198					52522
1895	3595050	10880579	#1f00ff	1.0	Instance 0x60000000000000a4 Size=704B	5205					52524
